instance,size,battery_capacity,method,seed,feasible,objective_value,runtime_seconds,vehicle_count,capacity_violations,time_window_violations,energy_violations,coverage_violations,charging_count,charging_time,first_infeasible_step,total_violation_count,raw_json
week04_generated_100_battery_60_seed_2015,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,1854.295804483222,0.36547012499977427,9,0,0,3,0,24,129.65046742313643,route 3 leg 4 C13->D0: battery depleted,3,results/week05/raw/week04_generated_100_battery_60_seed_2015_or_tools_vrptw_anticipatory_split_repair.json
week04_generated_100_battery_60_seed_2015,100,60.0,GA_VRPTW,2015,False,7475.91506360366,8.670132667000871,91,0,0,76,0,0,0.0,route 1 leg 2 C85->D0: battery depleted,76,results/week05/raw/week04_generated_100_battery_60_seed_2015_ga_vrptw.json
week04_generated_100_battery_60_seed_2015,100,60.0,GA_VRPTW_CHARGING_REPAIR,2015,False,7943.927947785765,8.670464291999451,91,0,0,35,0,41,200.62833314277984,route 5 leg 2 C74->D0: battery depleted,35,results/week05/raw/week04_generated_100_battery_60_seed_2015_ga_vrptw_charging_repair.json
week04_generated_100_battery_60_seed_2015,100,60.0,GA_VRPTW_ANTICIPATORY_REPAIR,2015,False,8703.489092024649,8.671682666999914,91,0,0,4,0,103,451.3345891322367,route 20 leg 2 C87->D0: battery depleted,4,results/week05/raw/week04_generated_100_battery_60_seed_2015_ga_vrptw_anticipatory_repair.json
week04_generated_100_battery_60_seed_2015,100,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,8703.489092024649,8.687530249999327,91,0,0,4,0,103,451.3345891322367,route 20 leg 2 C87->D0: battery depleted,4,results/week05/raw/week04_generated_100_battery_60_seed_2015_ga_vrptw_anticipatory_split_repair.json
week04_generated_100_battery_60_seed_2016,100,60.0,OR_TOOLS_VRPTW,2016,False,1079.1293975498672,0.07661245800045435,6,0,0,70,0,0,0.0,route 1 leg 5 C85->C30: battery depleted,70,results/week05/raw/week04_generated_100_battery_60_seed_2016_or_tools_vrptw.json
week04_generated_100_battery_60_seed_2016,100,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2016,False,1079.1293975498672,0.07687500000065484,6,0,0,70,0,0,0.0,route 1 leg 5 C85->C30: battery depleted,70,results/week05/raw/week04_generated_100_battery_60_seed_2016_or_tools_vrptw_charging_repair.json
week04_generated_100_battery_60_seed_2016,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_REPAIR,2016,False,1252.6150615475995,0.0772058750008,6,0,0,40,0,9,48.78589500243169,route 1 leg 5 C85->C30: battery depleted,40,results/week05/raw/week04_generated_100_battery_60_seed_2016_or_tools_vrptw_anticipatory_repair.json
week04_generated_100_battery_60_seed_2016,100,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,2032.79355553142,0.5818328740006109,12,0,0,3,0,26,132.48868458098502,route 1 leg 5 C85->D0: battery depleted,3,results/week05/raw/week04_generated_100_battery_60_seed_2016_or_tools_vrptw_anticipatory_split_repair.json
week04_generated_100_battery_60_seed_2016,100,60.0,GA_VRPTW,2016,False,7248.390449712974,8.709245250000095,87,0,0,78,0,0,0.0,route 3 leg 2 C8->D0: battery depleted,78,results/week05/raw/week04_generated_100_battery_60_seed_2016_ga_vrptw.json
week04_generated_100_battery_60_seed_2016,100,60.0,GA_VRPTW_CHARGING_REPAIR,2016,False,7635.701415793086,8.709588417001214,87,0,0,32,0,46,221.2835484989411,route 3 leg 2 C8->D0: battery depleted,32,results/week05/raw/week04_generated_100_battery_60_seed_2016_ga_vrptw_charging_repair.json
week04_generated_100_battery_60_seed_2016,100,60.0,GA_VRPTW_ANTICIPATORY_REPAIR,2016,False,8284.275792100098,8.710724291999213,87,0,0,4,0,102,444.32417116643234,route 23 leg 2 C29->D0: battery depleted,4,results/week05/raw/week04_generated_100_battery_60_seed_2016_ga_vrptw_anticipatory_repair.json
week04_generated_100_battery_60_seed_2016,100,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,8284.275792100098,8.735574917000122,87,0,0,4,0,102,444.32417116643234,route 23 leg 2 C29->D0: battery depleted,4,results/week05/raw/week04_generated_100_battery_60_seed_2016_ga_vrptw_anticipatory_split_repair.json
week04_generated_200_battery_60_seed_2014,200,60.0,OR_TOOLS_VRPTW,2014,False,1816.251843690314,0.4689679580005759,13,0,0,125,0,0,0.0,route 1 leg 7 C85->C162: battery depleted,125,results/week05/raw/week04_generated_200_battery_60_seed_2014_or_tools_vrptw.json
week04_generated_200_battery_60_seed_2014,200,60.0,OR_TOOLS_VRPTW_CHARGING_REPAIR,2014,False,1816.251843690314,0.4698488330013788,13,0,0,125,0,0,0.0,route 1 leg 7 C85->C162: battery depleted,125,results/week05/raw/week04_generated_200_battery_60_seed_2014_or_tools_vrptw_charging_repair.json
