infrastructure_variant,added_station_count,instance,size,battery_capacity,method,seed,feasible,objective_value,runtime_seconds,vehicle_count,capacity_violations,time_window_violations,energy_violations,coverage_violations,charging_count,charging_time,first_infeasible_step,total_violation_count,raw_json
original,0,week04_generated_200_battery_60_seed_2014,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,False,3229.3612142252705,3.370807291001256,18,0,0,4,0,41,216.16131682799667,route 3 leg 11 C107->D0: battery depleted,4,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2014_or_tools_vrptw_anticipatory_split_repair.json
original,0,week04_generated_200_battery_60_seed_2014,200,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,False,17784.545894007726,23.347651499998392,184,0,0,5,0,221,964.7125452813999,route 7 leg 2 C32->D0: battery depleted,5,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2014_ga_vrptw_anticipatory_split_repair.json
augmented,5,week04_generated_200_battery_60_seed_2014_infrastructure_augmented,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,2459.00272167451,0.4345812510000542,13,0,0,0,0,35,183.13199145202964,,0,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2014_infrastructure_augmented_or_tools_vrptw_anticipatory_split_repair.json
augmented,5,week04_generated_200_battery_60_seed_2014_infrastructure_augmented,200,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2014,True,16667.970612060577,23.295386875002805,184,0,0,0,0,209,887.2945564922945,,0,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2014_infrastructure_augmented_ga_vrptw_anticipatory_split_repair.json
original,0,week04_generated_200_battery_60_seed_2015,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,3246.7118118347407,3.4282835840003827,18,0,0,4,0,41,219.7847117546261,route 2 leg 20 C28->D0: battery depleted,4,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2015_or_tools_vrptw_anticipatory_split_repair.json
original,0,week04_generated_200_battery_60_seed_2015,200,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,False,18987.958731111285,23.192959666001116,189,0,0,7,0,240,1048.203605529284,route 38 leg 2 C14->D0: battery depleted,7,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2015_ga_vrptw_anticipatory_split_repair.json
augmented,7,week04_generated_200_battery_60_seed_2015_infrastructure_augmented,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,True,2635.246592811577,1.0009749160017236,14,0,0,0,0,37,196.65417894935885,,0,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2015_infrastructure_augmented_or_tools_vrptw_anticipatory_split_repair.json
augmented,7,week04_generated_200_battery_60_seed_2015_infrastructure_augmented,200,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2015,True,17961.0904428101,23.88535187600064,189,0,0,0,0,230,988.8776403728763,,0,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2015_infrastructure_augmented_ga_vrptw_anticipatory_split_repair.json
original,0,week04_generated_200_battery_60_seed_2016,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,3622.3570824500794,4.406330166000771,20,0,0,3,0,49,250.37125301903754,route 7 leg 14 C143->D0: battery depleted,3,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2016_or_tools_vrptw_anticipatory_split_repair.json
original,0,week04_generated_200_battery_60_seed_2016,200,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,False,18182.114455045303,23.15001866699822,187,0,0,9,0,222,968.2186217914866,route 9 leg 2 C127->D0: battery depleted,9,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2016_ga_vrptw_anticipatory_split_repair.json
augmented,9,week04_generated_200_battery_60_seed_2016_infrastructure_augmented,200,60.0,OR_TOOLS_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,True,2874.325501271475,1.4974932080003782,15,0,0,0,0,42,217.57447444676538,,0,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2016_infrastructure_augmented_or_tools_vrptw_anticipatory_split_repair.json
augmented,9,week04_generated_200_battery_60_seed_2016_infrastructure_augmented,200,60.0,GA_VRPTW_ANTICIPATORY_SPLIT_REPAIR,2016,True,17372.683184047368,24.05517779099864,187,0,0,0,0,222,940.5741629485395,,0,results/week05_infrastructure/raw/week04_generated_200_battery_60_seed_2016_infrastructure_augmented_ga_vrptw_anticipatory_split_repair.json
